Enter value for shuffling:you string is123875460Iterator=1, queue=1, depth=0
Iterator=689, queue=8, depth=6
Iterator=690, queue=9, depth=7
Iterator=691, queue=11, depth=7
Iterator=692, queue=12, depth=8
Iterator=693, queue=12, depth=8
Iterator=694, queue=13, depth=9
Iterator=695, queue=13, depth=9
Iterator=696, queue=12, depth=9
Iterator=697, queue=14, depth=9
Iterator=698, queue=11, depth=8
Iterator=699, queue=11, depth=8
Iterator=700, queue=12, depth=9
Iterator=701, queue=12, depth=9
Iterator=702, queue=11, depth=9
Iterator=703, queue=13, depth=9
Iterator=704, queue=10, depth=8
Iterator=705, queue=11, depth=8
Iterator=706, queue=11, depth=9
Iterator=707, queue=12, depth=9
Iterator=708, queue=10, depth=9
Iterator=709, queue=10, depth=9
Iterator=710, queue=9, depth=8
Iterator=711, queue=10, depth=8
Iterator=712, queue=10, depth=9
Iterator=713, queue=11, depth=9
Iterator=714, queue=9, depth=9
Iterator=715, queue=9, depth=9
Iterator=716, queue=8, depth=7
Iterator=717, queue=8, depth=7
Iterator=718, queue=9, depth=8
Iterator=719, queue=9, depth=8
Iterator=720, queue=10, depth=9
Iterator=721, queue=12, depth=9
Iterator=722, queue=9, depth=9
Iterator=723, queue=9, depth=9
Iterator=724, queue=8, depth=8
Iterator=725, queue=10, depth=8
Iterator=726, queue=11, depth=9
Iterator=727, queue=11, depth=9
Iterator=728, queue=10, depth=9
Iterator=729, queue=10, depth=9
Iterator=730, queue=9, depth=9
Iterator=731, queue=10, depth=9
Iterator=732, queue=8, depth=9
Iterator=733, queue=9, depth=9
Iterator=734, queue=7, depth=6
Iterator=735, queue=9, depth=6
Iterator=736, queue=10, depth=7
Iterator=737, queue=10, depth=7
Iterator=738, queue=11, depth=8
Iterator=739, queue=11, depth=8
Iterator=740, queue=12, depth=9
Iterator=741, queue=14, depth=9
Iterator=742, queue=11, depth=9
Iterator=743, queue=11, depth=9
Iterator=744, queue=10, depth=8
Iterator=745, queue=12, depth=8
Iterator=746, queue=13, depth=9
Iterator=747, queue=13, depth=9
Iterator=748, queue=12, depth=9
Iterator=749, queue=12, depth=9
Iterator=750, queue=11, depth=9
Iterator=751, queue=12, depth=9
Iterator=752, queue=10, depth=9
Iterator=753, queue=11, depth=9
Iterator=754, queue=9, depth=7
Iterator=755, queue=8, depth=7
Iterator=756, queue=9, depth=7
Iterator=757, queue=9, depth=8
Iterator=758, queue=10, depth=8
Iterator=759, queue=10, depth=9
Iterator=760, queue=11, depth=9
Iterator=761, queue=9, depth=9
Iterator=762, queue=11, depth=9
Iterator=763, queue=8, depth=8
Iterator=764, queue=8, depth=8
Iterator=765, queue=8, depth=9
Iterator=766, queue=8, depth=9
Iterator=767, queue=7, depth=7
Iterator=768, queue=8, depth=7
Iterator=769, queue=8, depth=8
Iterator=770, queue=8, depth=8
Iterator=771, queue=8, depth=9
Iterator=772, queue=9, depth=9
Iterator=773, queue=7, depth=8
Iterator=774, queue=7, depth=8
Iterator=775, queue=8, depth=9
Iterator=776, queue=10, depth=9
Iterator=777, queue=7, depth=9
Iterator=778, queue=7, depth=9
Iterator=779, queue=6, depth=5
Iterator=780, queue=7, depth=5
Iterator=781, queue=7, depth=6
Iterator=782, queue=8, depth=6
Iterator=783, queue=10, depth=7
Iterator=784, queue=11, depth=7
Iterator=785, queue=11, depth=8
Iterator=786, queue=12, depth=8
Iterator=787, queue=12, depth=9
Iterator=788, queue=13, depth=9
Iterator=789, queue=11, depth=9
Iterator=790, queue=13, depth=9
Iterator=791, queue=10, depth=8
Iterator=792, queue=9, depth=8
Iterator=793, queue=10, depth=7
Iterator=794, queue=10, depth=9
Iterator=795, queue=10, depth=8
Iterator=796, queue=9, depth=9
Iterator=797, queue=9, depth=9
Iterator=798, queue=8, depth=7
Iterator=799, queue=9, depth=7
Iterator=800, queue=9, depth=8
Iterator=801, queue=10, depth=8
Iterator=802, queue=12, depth=9
Iterator=803, queue=13, depth=9
Iterator=804, queue=11, depth=9
Iterator=805, queue=12, depth=9
Iterator=806, queue=10, depth=9
Iterator=807, queue=11, depth=9
Iterator=808, queue=9, depth=9
Iterator=809, queue=9, depth=9
Iterator=810, queue=8, depth=8
Iterator=811, queue=7, depth=8
Iterator=812, queue=7, depth=7
Iterator=813, queue=8, depth=9
Iterator=814, queue=8, depth=8
